insertId,internalId.projectNumber,internalMetadata.billingSize,internalMetadata.bucketUuid.tcubeShardNames,internalMetadata.bucketUuid.uid,internalMetadata.logBucketDefaultSink,internalMetadata.queryAnnotations.residentBucketEntityId.projectNumber,internalMetadata.queryAnnotations.residentBucketUuid,labels.execution_id,logName,receiveLocation,receiveTimestamp,receivedLocation,resource.labels.function_name,resource.labels.project_id,resource.labels.region,resource.type,textPayload,timestamp,trace,writerEmailAddress
000000-ce8f6eac-d3a1-4061-ad2f-2bd4652b5415,,,,,,,,hagn2ill7ads,projects/ubc-serverless-qos/logs/cloudfunctions.googleapis.com%2Fcloud-functions,,2022-04-05T23:52:47.798908872Z,,thread-128,ubc-serverless-qos,northamerica-northeast1,cloud_function,0.0012027721405029298,2022-04-05T23:52:40.670Z,projects/ubc-serverless-qos/traces/4badb944a835f5d1b9c246f82a209e33,
000000-a76b8abc-b158-45c9-ae81-4c76c749a2b0,,,,,,,,lnfe964bwu35,projects/ubc-serverless-qos/logs/cloudfunctions.googleapis.com%2Fcloud-functions,,2022-04-05T23:52:47.277046067Z,,thread-128,ubc-serverless-qos,northamerica-northeast1,cloud_function,0.0014454997777938842,2022-04-05T23:52:39.566Z,projects/ubc-serverless-qos/traces/091f16149e738d342f9e8e2a410f3062,
000000-8dc6ea1a-eb05-4bc9-941d-7d225952e5e9,,,,,,,,5c9fooxgz5ya,projects/ubc-serverless-qos/logs/cloudfunctions.googleapis.com%2Fcloud-functions,,2022-04-05T23:52:48.995393434Z,,thread-128,ubc-serverless-qos,northamerica-northeast1,cloud_function,0.0013142236471176147,2022-04-05T23:52:38.431Z,projects/ubc-serverless-qos/traces/7bea1c46fb5a08570ac4809aa691cb3b,
000000-d23c164a-220c-4811-8adc-fc6b4db8d140,,,,,,,,0gouoarwqwsc,projects/ubc-serverless-qos/logs/cloudfunctions.googleapis.com%2Fcloud-functions,,2022-04-05T23:52:44.067717126Z,,thread-128,ubc-serverless-qos,northamerica-northeast1,cloud_function,0.001363681197166443,2022-04-05T23:52:37.937Z,projects/ubc-serverless-qos/traces/8a5e52501408c8b60ed9d421b18ad539,
000000-399b3019-b989-4ef4-a122-e2a920f6c39f,,,,,,,,rd0fh9yldts8,projects/ubc-serverless-qos/logs/cloudfunctions.googleapis.com%2Fcloud-functions,,2022-04-05T23:52:39.126796003Z,,thread-128,ubc-serverless-qos,northamerica-northeast1,cloud_function,0.0014059100151062012,2022-04-05T23:52:36.834Z,projects/ubc-serverless-qos/traces/4e85b4ec37debeef06e7a592e20c7300,
000000-045377be-25aa-4bb8-8770-970fa21a6419,,,,,,,,n43wawmt4twq,projects/ubc-serverless-qos/logs/cloudfunctions.googleapis.com%2Fcloud-functions,,2022-04-05T23:52:42.551850420Z,,thread-128,ubc-serverless-qos,northamerica-northeast1,cloud_function,0.0013553061485290527,2022-04-05T23:52:35.772Z,projects/ubc-serverless-qos/traces/ecada5eef4a95aa5f3bf274b7258e475,
000000-1f2e1a2f-d8a4-4655-a7a6-6a308b45f4ab,,,,,,,,5c9ff3u1d402,projects/ubc-serverless-qos/logs/cloudfunctions.googleapis.com%2Fcloud-functions,,2022-04-05T23:52:36.457713867Z,,thread-128,ubc-serverless-qos,northamerica-northeast1,cloud_function,0.0012682868242263794,2022-04-05T23:52:34.328Z,projects/ubc-serverless-qos/traces/619b1aff7c5b240971e14d958cacc829,
000000-a3a54f60-00c8-4b2d-b00b-010a5db00fce,,,,,,,,0gourefuyz7t,projects/ubc-serverless-qos/logs/cloudfunctions.googleapis.com%2Fcloud-functions,,2022-04-05T23:52:44.067717126Z,,thread-128,ubc-serverless-qos,northamerica-northeast1,cloud_function,0.0015117586851119994,2022-04-05T23:52:33.839Z,projects/ubc-serverless-qos/traces/736f30bfed0be45cedff916034ef5d91,
000000-533046f4-6ffe-4f2b-8c90-30f0479db04d,,,,,,,,rd0fags8llt0,projects/ubc-serverless-qos/logs/cloudfunctions.googleapis.com%2Fcloud-functions,,2022-04-05T23:52:39.126796003Z,,thread-128,ubc-serverless-qos,northamerica-northeast1,cloud_function,0.0014679014682769775,2022-04-05T23:52:32.940Z,projects/ubc-serverless-qos/traces/0f2e50500d9482a62da80e4ffe864fa9,
000000-7c88fbb0-9998-4581-9377-fdcd7f473be9,,,,,,,,n43w8jz8g8ns,projects/ubc-serverless-qos/logs/cloudfunctions.googleapis.com%2Fcloud-functions,,2022-04-05T23:52:32.831868621Z,,thread-128,ubc-serverless-qos,northamerica-northeast1,cloud_function,0.0011550166606903076,2022-04-05T23:52:31.364Z,projects/ubc-serverless-qos/traces/308eb3f4b9c45ce1c3f2cea2444e573f,
